track_title,valence,tempo,danceability,energy,speechiness
"Lose Control (feat. Ciara & Fat Man Scoop)",0.81,125.461,0.904,0.813,0.121
Toxic,0.924,143.04,0.774,0.838,0.114
"Crazy In Love",0.701,99.259,0.664,0.758,0.21
"Rock Your Body",0.818,100.972,0.891,0.714,0.14
"It Wasn't Me",0.654,94.759,0.853,0.606,0.0713
Yeah!,0.592,104.997,0.881,0.788,0.168
"My Boo",0.676,86.412,0.662,0.507,0.118
Buttons,0.434,210.75,0.544,0.823,0.32
"Say My Name",0.734,138.009,0.713,0.678,0.102
"Hey Ya! - Radio Mix / Club Mix",0.965,79.526,0.728,0.974,0.0665
Promiscuous,0.868,114.328,0.808,0.97,0.0506
"Beautiful Soul",0.933,89.975,0.66,0.666,0.0472
"Leavin'",0.889,79.237,0.693,0.709,0.0608
"Me & U",0.739,99.99,0.803,0.454,0.0294
"Ice Box",0.821,131.105,0.775,0.731,0.134
"Sk8er Boi",0.484,149.937,0.487,0.9,0.0482
"Run It!",0.212,100.969,0.846,0.482,0.129
"Check On It - feat. Bun B and Slim Thug",0.864,166.042,0.705,0.796,0.267
"Jumpin', Jumpin'",0.683,88.997,0.771,0.685,0.0567
"Where Is The Love?",0.828,94.059,0.835,0.687,0.184
"Stacy's Mom",0.813,119.989,0.728,0.801,0.0752
"Yo (Excuse Me Miss)",0.57,86.768,0.536,0.612,0.272
"Year 3000",0.811,106.966,0.659,0.869,0.046
"Lip Gloss",0.94,188.772,0.619,0.87,0.501
"Everytime We Touch - Radio Edit",0.514,142.008,0.624,0.976,0.0494
"Whatcha Say",0.711,144.036,0.615,0.711,0.0779
"Miss Independent",0.713,171.86,0.673,0.683,0.115
"Party In The U.S.A.",0.483,192.18,0.454,0.708,0.0675
"The Great Escape",0.505,149.934,0.423,0.94,0.0635
Replay,0.195,91.031,0.706,0.751,0.0708
Forever,0.43,120.011,0.669,0.822,0.043
"Your Love Is My Drug",0.72,120.048,0.829,0.627,0.0759
Closer,0.576,126.027,0.709,0.745,0.0738
"Paper Planes",0.485,172.231,0.457,0.854,0.265
"Mr. Brightside",0.234,148.112,0.33,0.936,0.0917
"All The Small Things",0.712,148.119,0.442,0.893,0.0505
"Somebody To Love",0.636,129.97,0.719,0.839,0.0257
"Dirty Little Secret",0.457,143.85,0.453,0.942,0.0466
