iSpy (feat. Lil Yachty),KYLE
First Time,Vance Joy
Post To Be (feat. Chris Brown & Jhene Aiko),Omarion
Magnets,Disclosure
Right Here,Keys N Krates
I'm Ready,AJR
Lovely Day,Bill Withers
I Choose You,Sara Bareilles
Back To Sleep,Chris Brown
Star Of The Show,Thomas Rhett
Whatever It Is,Zac Brown Band
Wiggle (feat. Snoop Dogg),Jason Derulo
Where It All Begins (feat. Lady Antebellum),Hunter Hayes
Living Single,Big Sean
U Remind Me,Usher
Hand In My Pocket - 2015 Remastered,Alanis Morissette
Overwhelming,Jon Bellion
