Whatcha Say,Jason Derulo
Fortunate Son,Creedence Clearwater Revival
Too Many Years,Kodak Black
Pickin' Wildflowers,Keith Anderson
Better Dig Two,The Band Perry
Buy Me A Boat,Chris Janson
Party Like A Rock Star,Shop Boyz
Best Love Song,T-Pain
Everywhere,Michelle Branch
Dancing In The Moonlight,King Harvest
S.O.S.,ABBA
Baby Love - Juke Box Single Version,The Supremes
Rock Bottom,Kenny Chesney
Love You Like That,Canaan Smith
She's Got a Way With Words,Blake Shelton
Barracuda,Heart
Should've Been A Cowboy,Toby Keith
