Runaway Train,Soul Asylum
Rumour Has It,Adele
More Than You Know,Axwell /\ Ingrosso
We Are the People,Empire of the Sun
Cowboy Casanova,Carrie Underwood
Parachute,Chris Stapleton
Congratulations,Rachel Platten
Electric Love,BØRNS
Can't Take My Eyes Off You,Frankie Valli
Dreams,Campsite Dream
La La La,Naughty Boy
Strangers Like Me,Phil Collins
Everybody Wants To Rule The World,Tears For Fears
Christmas Eve,Justin Bieber
Sangria,Blake Shelton
Red Lights,Tiësto
Beautiful Now,Zedd
Raise 'Em Up,Keith Urban
