Despacito - Remix,Luis Fonsi
All In My Head (Flex),Fifth Harmony
Tonight Tonight,Hot Chelle Rae
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo
P.I.M.P.,50 Cent
Love Like Woe,The Ready Set
Southern Nights,Glen Campbell
La Tortura,Shakira
Keep Your Head Up,Andy Grammer
Love$ick (feat. A$AP Rocky),Mura Masa
Sunshine,Person L
Stereo Hearts (feat. Adam Levine) - feat. Adam Levine,Gym Class Heroes
Rock Wit U (Awww Baby),Ashanti
Good Company,A Bigger Splash
Dig A Little Deeper - From "The Princess and the Frog",Jenifer Lewis
