See You Again,Miley Cyrus
Dancing in the Moonlight,Toploader
Losing My Religion,R.E.M.
Dreaming,Smallpools
Bambi,Jidenna
Boot Scootin' Boogie,Brooks & Dunn
1985,Bowling For Soup
My First Kiss - feat. Ke$ha,3OH!3
White Noise,Disclosure
Jingle Bell Rock from Daryl,Daryl Hall & John Oates
She's Kinda Hot,5 Seconds of Summer
This Is Living,Hillsong Young & Free
Hot N Cold,Katy Perry
Work B**ch,Britney Spears
River Bank,Brad Paisley
She Thinks My Tractor's Sexy,Kenny Chesney
Smooth Criminal,2Cellos
(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,The Rolling Stones
My Maria,Brooks & Dunn
Movin' Out (Anthony's Song),Billy Joel
How To Be A Heartbreaker,Marina and the Diamonds
The Beautiful People,Marilyn Manson
