Sweet Home Alabama,Lynyrd Skynyrd
I Want You Back,The Jackson 5
Wake Me up Before You Go-Go,Wham!
Folsom Prison Blues - Live,Johnny Cash
Listen To The Music,The Doobie Brothers
Independent Women, Pt. 1 - Pasadena Remix,Destiny's Child
The Gambler,Kenny Rogers
Mrs. Robinson,Simon & Garfunkel
For What It's Worth,Buffalo Springfield
I Just Can't Wait to Be King - From "The Lion King"/Soundtrack Version,Jason Weaver
Spice Girl,Aminé
Sir Duke,Stevie Wonder
For Once In My Life,Stevie Wonder
Take The Money And Run,Steve Miller Band
