Raise Your Glass,P!nk
oui,Jeremih
Pompeii,Bastille
Make Me... (feat. G-Eazy),Britney Spears
By Your Side,Jonas Blue
Up,NAV
Dirt Road Anthem,Jason Aldean
7/11,Beyoncé
One Thing,Kevin Gates
Fight For Your Right,Beastie Boys
Satellite,Guster
All Night Longer,Sammy Adams
Drag Me Down,One Direction
Pursuit Of Happiness - Extended Steve Aoki Remix (Explicit),Kid Cudi
Reflections,MisterWives
Dollhouse,Melanie Martinez
Ocean Drive,Duke Dumont
How Forever Feels,Kenny Chesney
Faded - Odesza Remix,ZHU
Give Your Heart A Break,Demi Lovato
Reality - Radio Edit,Lost Frequencies
Red Opps,21 Savage
Overload,Life of Dillon
Gone Country,Alan Jackson
If So,Atlas Genius
Tone it Down (feat. Chris Brown),Gucci Mane
