Green Light,Lorde
Mess Is Mine,Vance Joy
Too Close,Alex Clare
Why,Roy Woods
Adore You,Miley Cyrus
Cough Syrup,Young the Giant
Too Young,Post Malone
Litty (feat. Tory Lanez),Meek Mill
Summertime Sadness,Lana Del Rey
Right Now,Sabrina Carpenter
All These Things That I've Done,Chris Hudgins
Clocks,Coldplay
Break From Toronto,PARTYNEXTDOOR
All of Me (Tiësto's Birthday Treatment Remix) - Radio Edit,John Legend
Breathe Me,Sia
Don't Wake Me Up,Chris Brown
Story of My Life,One Direction
I Hold On,Dierks Bentley
Run Away With Me,Carly Rae Jepsen
Hungry Eyes,Eric Carmen
