Something Good Can Work,Two Door Cinema Club
DJ Got Us Fallin' In Love,Usher
Sugar (feat. Francesco Yates),Robin Schulz
Somebody Like You,Keith Urban
Why Don't We Just Dance,Josh Turner
Time Is Love,Josh Turner
Island In The Sun,Weezer
Fast Cars And Freedom,Rascal Flatts
Firework,Katy Perry
I Really Like You,Carly Rae Jepsen
Heartache On The Dance Floor,Jon Pardi
Enter Sandman,Metallica
Good Girls Go Bad (feat. Leighton Meester),Cobra Starship
International Love,Pitbull
Edge of Seventeen - Remastered,Stevie Nicks
Beauty And A Beat,Justin Bieber
Little Bit of You,Chase Bryant
Let It Happen,Tame Impala
5-1-5-0,Dierks Bentley
Gimme All Your Lovin',ZZ Top
