Nobody Else But You,Trey Songz
Digits,Young Thug
Real Love,Clean Bandit
Do My Thang,Miley Cyrus
No Hands (feat. Roscoe Dash and Wale) - Explicit Album Version,Waka Flocka Flame
IDGAF,Jacquees
Last Time (feat. Travis Scott),Gucci Mane
SideLine Watching (Hold Up),Lil Uzi Vert
Gasoline,Halsey
Tapout,Rich Gang
Jersey,Future
Party,Chris Brown
Gotta Have It,JAY Z
3500,Travis Scott
Might Not,Belly
through the late night,Travis Scott
Fairytale,Sara Bareilles
Fuck Love (feat. Trippie Redd),XXXTENTACION
Not My Day,Keith James
There He Go,Kodak Black
