Drunk in Love,Beyoncé
Until You Were Gone,The Chainsmokers
Cop Car,Sam Hunt
What Hurts The Most,Rascal Flatts
Wanna Be That Song,Brett Eldredge
Fast,Jason Aldean
Hold You Down,DJ Khaled
Heavy (feat. Kiiara),Linkin Park
Berlin,RY X
I’m So Sorry,Imagine Dragons
Fitzpleasure,alt-J
idfc (Tarro Remix),blackbear
Troubadour,George Strait
For You,Fyfe
Flaws,Vancouver Sleep Clinic
Ignition / Do You... (Mashup),Phoebe Ryan
Somewhere On A Beach,Dierks Bentley
Used to Love You Sober,Kane Brown
Just a Kiss,Lady Antebellum
Ordinary Life,The Weeknd
Can I Have This Dance,High School Musical Cast
