Miss You,James Hersey
This Girl (Kungs Vs. Cookin' On 3 Burners) - Kungs Vs. Cookin' On 3 Burners,Kungs
Look What You Made Me Do,Taylor Swift
DONTTRUSTME - Explicit Album Version,3OH!3
Look At Me Now,Chris Brown
Jump Out The Window,Big Sean
Whoomp! There It Is,Tag Team
Work Hard, Play Hard,Wiz Khalifa
Scream & Shout,will.i.am
Wild Boy,Machine Gun Kelly
On The Floor,Jennifer Lopez
Uh Huh,Julia Michaels
Tuesday (feat. Drake),ILoveMakonnen
Bet On It,Troy
I Just Wanna...,Elijah Blake
Lay It On Me,Kelly Rowland
Kelly Price (feat. Travis Scott),Migos
A Little Party Never Killed Nobody (All We Got),Fergie
Drinks On Us,Mike WiLL Made-It
