Ice Box,Omarion
Stronger,Kanye West
Feel Good Inc,Gorillaz
Toes,Zac Brown Band
Make Me Like You,Gwen Stefani
Ghostbusters,Ray Parker, Jr.
Get It Together,Drake
Dímelo,Snakehips
Surfin',Kid Cudi
Conga,Miami Sound Machine
S&M,Rihanna
My Love,ERLAND
Show Me The Way,Penguin Prison
Sexy Bitch (feat. Akon) - feat. Akon,David Guetta
Crank That (Soulja Boy),Soulja Boy
Guru,Coast Modern
Darte un Beso,Prince Royce
How Many Times,DJ Khaled
She Don't Know She's Beautiful,Sammy Kershaw
I Know You Want Me (Calle Ocho),Pitbull
