Classic,MKTO
You Know I'm No Good,Amy Winehouse
Let Go,Frou Frou
The Sweet Escape,Gwen Stefani
Perfect Strangers,Jonas Blue
Mama's Broken Heart,Miranda Lambert
TiK ToK,Kesha
I Know What You Did Last Summer,Shawn Mendes
Girls Just Want to Have Fun,Cyndi Lauper
Numb / Encore,JAY Z
What Is Love,Haddaway
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit
Walk Like an Egyptian,The Bangles
Time of Our Lives,Pitbull
All Night Long,Mary Jane Girls
Something Good,alt-J
Disturbia,Rihanna
Hoedown Throwdown,Miley Cyrus
You Were Right,RÜFÜS
The Way I Are,Timbaland
Drive By,Train
Can't Get Enough Of Your Love, Babe,Barry White
Alors On Danse,Stromae
