Good Feeling,Flo Rida
One Week,Barenaked Ladies
No Money,Galantis
Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann
Sweet Lovin' - Radio Edit,Sigala
Man! I Feel Like A Woman!,Shania Twain
Part Of Me,Katy Perry
Mr. Saxobeat - Radio Edit,Alexandra Stan
Yeah 3x,Chris Brown
Pocketful of Sunshine,Natasha Bedingfield
Bulletproof,La Roux
Du hast,Rammstein
Small Town,Hoodie Allen
Love Runs Out,OneRepublic
Gangnam Style (강남스타일),PSY
Bad Romance,Lady Gaga
What Time Is It,High School Musical Cast
Silhouette,Goldroom
Thong Song,Sisqo
Ain't Worried About Nothin,French Montana
I Like It,Enrique Iglesias
She's So Mean,Matchbox Twenty
