One More Time,Daft Punk
Counting Stars,OneRepublic
Lay It All On Me (feat. Ed Sheeran),Rudimental
Feel Good (feat. Daya),Gryffin
Flawless Remix,Beyoncé
Good Directions,Billy Currington
Shooting Stars,Bag Raiders
Phone Down,Lost Kings
Stay A Little Longer,Brothers Osborne
Under Pressure - Remastered 2011,Queen
Carolina,Parmalee
Primadonna,Marina and the Diamonds
Down By The River,Milky Chance
Everyday,A$AP Rocky
(I Just) Died in Your Arms,Cutting Crew
TKO,Justin Timberlake
Came Here to Forget,Blake Shelton
bodyache,Purity Ring
Like a Boy,Ciara
