Closer,Goapele
We Found Love,Rihanna
I Gotta Feeling,The Black Eyed Peas
On Melancholy Hill,Gorillaz
Honey, I'm Good.,Andy Grammer
San Francisco,The Mowgli's
Payphone,Maroon 5
Teenage Dream,Katy Perry
Desire,Meg Myers
I Miss You,Adele
Can't Feel My Face,The Weeknd
American Boy (feat. Kanye West),Estelle
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5
Blue,Marina and the Diamonds
Fun,Pitbull
We R Who We R,Kesha
My Way (feat. Monty),Fetty Wap
Bad At Love,Halsey
Shining,DJ Khaled
Shots - Broiler Remix,Imagine Dragons
Hey Mami,Sylvan Esso
