Tubthumping,Chumbawamba
My Type,Saint Motel
Don't Wanna Fight,Alabama Shakes
Bang My Head (feat. Sia & Fetty Wap),David Guetta
I Want Crazy - Encore,Hunter Hayes
Magic,Coldplay
Kiss Tomorrow Goodbye,Luke Bryan
Rain Is a Good Thing,Luke Bryan
Adventure Of A Lifetime,Coldplay
I Will Not Bow,Breaking Benjamin
Lifestyles of the Rich & Famous,Good Charlotte
Morocco,Moon Taxi
Think of You,Chris Young
7 Things,Miley Cyrus
Savior,Rise Against
Wasteland,Against The Current
Dance, Dance,Fall Out Boy
Are You Gonna Be My Girl,Jet
Classic (feat. POWERS),The Knocks
Machine,Scott Helman
Immigrant Song,Led Zeppelin
I Love This Life,LOCASH
D.A.N.C.E.,Justice
Flatliner (feat. Dierks Bentley),Cole Swindell
