Crazy,Gnarls Barkley
Call On Me - Ryan Riback Extended Remix,Starley
Semi-Charmed Life,Third Eye Blind
CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS"),Justin Timberlake
I Told You So,Randy Travis
Crushin' It,Brad Paisley
Nothin' On You (feat. Bruno Mars),B.o.B
All the Pretty Girls,Kenny Chesney
Don't You (Forget About Me),Simple Minds
You Get What You Give,New Radicals
Beat Of The Music,Brett Eldredge
As Good As I Once Was,Toby Keith
Friday Night,Eric Paslay
Blow Me (One Last Kiss),P!nk
Afterlife,XYLØ
How Country Feels,Randy Houser
