Forever,Drake
Hold My Hand,The Fray
High You Are,What So Not
Champions,Kanye West
Outside,Calvin Harris
Break Up In A Small Town,Sam Hunt
Love Somebody,Maroon 5
Lying Is The Most Fun A Girl Can Have Without Taking Her Clothes Off,Panic! At The Disco
I Love It When You Cry (Moxoki) - Radio Edit,Steve Aoki
i miss the old u,blackbear
Hometown,Twenty One Pilots
Sweater Weather,The Neighbourhood
Ugly Heart,G.R.L.
Since U Been Gone,Kelly Clarkson
I Got U,Duke Dumont
We Can Make Love,SoMo
She Won't Be Lonely Long,Clay Walker
One,U2
A Year Without Rain,Selena Gomez & The Scene
Fineshrine,Purity Ring
Out Last Night,Kenny Chesney
