Sweet Child O' Mine,Guns N' Roses
Kathleen,Catfish and the Bottlemen
Shut Up and Dance,WALK THE MOON
I Believe In A Thing Called Love,The Darkness
The Nights,Avicii
God's Not Dead (Like a Lion),Newsboys
Bad Girlfriend,Lola Coca
You're Gonna Go Far, Kid,The Offspring
We Don't Believe What's On TV,Twenty One Pilots
Sweet Nothing,Calvin Harris
Double Vision,Foreigner
Alive - Live,Hillsong Young & Free
Puzzle Pieces,Saint Motel
Love On Me,Galantis
That's What You Get,Paramore
Lettin' The Night Roll,Justin Moore
