Ship To Wreck,Florence + The Machine
This Is Gospel,Panic! At The Disco
POWER,Kanye West
As Long As You Love Me,Justin Bieber
Play It Again,Luke Bryan
Whiskey in My Water,Tyler Farr
Anywhere With You,Jake Owen
Here's To The Good Times,Florida Georgia Line
Cruise - Remix,Florida Georgia Line
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
Fastest Girl in Town,Miranda Lambert
Sandstorm - Radio Edit,Darude
Island,The Starting Line
Scars,I Prevail
Good Girls,5 Seconds of Summer
Any Way You Want It,Journey
Catch Me (feat. Naaz),Yellow Claw
Rise,Katy Perry
Love & War (feat. Yade Lauren),Yellow Claw
For Her,Chris Lane
All The Right Moves,OneRepublic
