Thriller,Michael Jackson
Hicktown,Jason Aldean
I Love It (feat. Charli XCX) - feat. Charli XCX [Original Version],Icona Pop
Higher Ground,Stevie Wonder
Black Magic,Little Mix
Fireball,Willow
Play Hard (feat. Ne-Yo & Akon) - feat. Ne-Yo & Akon,David Guetta
Uptown Girl,Billy Joel
Blue [Da Ba Dee],Eiffel 65
Beer For My Horses,Toby Keith
Should I Stay or Should I Go - Remastered,The Clash
Run the World (Girls),Beyoncé
Sparks,Coldplay
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick
Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cup (TM) Song),Shakira
We're All In This Together,Old Crow Medicine Show
Do It,Mykko Montana
Work This Out,High School Musical Cast
Sold [The Grundy County Auction Incident],John Michael Montgomery
Bad Habit,The Kooks
