Selfish,Slum Village
Horses (with PnB Rock, Kodak Black & A Boogie Wit da Hoodie),PnB Rock
Hold Back The River,James Bay
Geronimo,Sheppard
Feeling Myself,Nicki Minaj
Whatever You Like,T.I.
Guap,Big Sean
Masterpiece,Disclosure
People Are Crazy,Billy Currington
Clear - Original Version,Pusher
Hold Me Down,Halsey
Schemin Up (feat. Drake and P. Reign),OB OBrien
Dead And Gone (feat. Justin Timberlake),T.I.
Lucky Strike,Maroon 5
Howlin' For You,The Black Keys
We Still In This Bitch (feat. T.I. and Juicy J),B.o.B
RGF Island,Fetty Wap
Jugg (feat. Monty),Fetty Wap
Feel This Moment,Pitbull
Enemies,Shinedown
Let You Down,NF
